,age,weight,bodyActivity,clothLayer,time,nigaThermal,summTemp,wintTemp,thermalComf,tempNow,nigaNoise,outNoise,backgNoise,noiseGenarally,noiseNow,people_Noise,AcousComfort,building_image,nigaAir,ac_control,vent,odorUsually,sleepy,odor,airSpeedNow,nigaLightQua,daylight,BlindOFF,lightControl,luminaireOFF,colorComf,visualComf,lightLevelFeel
87,1,2,4,5,5,0,3,3,0,4,1,0,0,3,2,1,4,1,0,0,1,1,0,0,2,0,1,1,1,1,2,4,1
88,1,5,1,5,4,1,3,2,1,3,0,0,0,4,3,1,4,3,1,0,3,0,0,0,2,1,1,1,1,0,3,3,3
89,1,1,5,5,5,1,3,1,0,3,0,0,0,3,3,1,2,1,0,0,4,0,0,0,2,1,0,1,1,0,4,4,3
90,1,1,3,5,2,0,3,2,1,3,0,0,1,4,3,1,4,3,0,1,4,0,1,0,2,0,1,0,1,0,4,3,5
91,1,2,3,2,3,0,2,3,0,2,1,0,0,3,3,0,4,3,0,0,4,0,1,0,2,0,0,0,1,0,5,4,3
92,1,4,1,5,3,1,5,1,1,3,1,0,0,1,3,0,5,3,0,0,3,0,0,0,1,0,1,0,1,0,4,5,3
93,1,5,3,5,3,0,2,3,0,2,0,0,0,2,3,1,3,2,0,1,3,0,0,1,2,0,1,0,0,0,5,4,2
94,1,1,2,2,3,1,5,1,0,4,1,0,0,1,2,0,5,3,0,0,3,0,0,0,2,0,1,0,1,0,3,3,3
95,2,2,1,5,5,0,4,2,1,3,0,0,0,4,5,1,2,2,0,0,4,0,0,0,1,1,1,0,1,0,4,5,4
96,3,5,2,5,5,0,3,3,1,4,0,0,0,3,4,1,3,4,0,1,4,0,0,0,1,1,1,0,0,0,4,4,4
