,lightLevel,lightColor,peaople_sound,o2,co2,lpg,alcohol,methane,co,h2,nitric,ch2o,voc,Temp,Humad,Rtemp,air_speed
107,5.88,5215,42.2,20.43,759.3841,3.3321,0.0033,0.3652,5.0182,51.2037,0.2114,0.3784,3.3736,24.23,52.35,23,129
108,6.215,5166,36.9,20.49,750.3514,3.3535,0.0033,0.3783,5.0182,51.2729,0.2569,0.3784,4.0099,24.6714,52.45,24,138
109,6.41,5143,45.15,20.44,767.0127,3.3857,0.0032,0.3997,5.0394,51.4112,0.2758,0.3784,4.0099,23.7605,52.45,19,127
110,6.54,5083,70.25,20.49,742.3658,3.3108,0.0032,0.3678,4.9971,50.8576,0.2508,0.4283,3.3736,23.0311,52.45,21,135
111,3.355,5085,57.2,20.43,739.7074,3.3535,0.0032,0.4024,5.0606,50.8576,0.2114,0.3784,3.6894,23.888,55.22,23,131
112,3.51,5062,46.75,20.51,727.5727,3.3428,0.0032,0.4107,4.9971,50.6498,0.2758,0.4028,3.6894,24.3076,52.85,22,132
113,3.17,5015,25.85,20.42,747.3528,3.3321,0.0032,0.3889,4.9971,50.9268,0.201,0.3784,3.0629,24.5729,52.85,23,138
114,8.49,4981,24.9,20.51,743.3199,3.3108,0.0032,0.3783,5.0394,50.8576,0.2631,0.3325,3.3736,24.6379,52.85,23,130
115,8.27,4989,25.1,20.51,713.3473,3.3428,0.0032,0.3652,4.871,50.9961,0.2333,0.4028,3.6894,24.5292,52.85,23,133
116,2.66,4961,25.3,20.48,758.4875,3.3428,0.0033,0.3836,4.9128,51.2729,0.2167,0.4028,4.0099,23.7231,52.85,21,126
117,2.67,4937,25.05,20.42,794.741,3.1955,0.0032,0.3627,4.871,51.1345,0.2631,0.4028,4.0099,23.4368,53.45,22,130
118,4.595,4911,25.55,20.44,759.9387,3.2059,0.0032,0.373,4.9128,51.4112,0.1815,0.4028,3.6894,23.7954,53.55,21,125
119,4.18,4877,24.1,20.42,734.609,3.1852,0.0032,0.373,4.871,51.4112,0.2569,0.3784,4.0099,24.0191,53.65,22,137
120,4.885,4860,26.0,20.46,756.7979,3.2371,0.0032,0.3627,5.0182,51.4804,0.3545,0.3784,4.0099,24.2029,53.75,22,129
121,3.16,4838,31.2,20.42,765.5112,3.2897,0.0031,0.3652,4.9759,51.3421,0.2167,0.3549,4.0099,24.2918,53.85,19,136
122,3.95,4792,28.4,20.38,756.9214,3.2791,0.0032,0.3475,4.9759,51.4112,0.2823,0.3784,3.3736,23.7821,53.95,23,134
123,3.975,4808,37.45,20.38,792.7222,3.2791,0.0031,0.3475,4.9549,51.6187,0.2631,0.3784,4.335,24.4002,53.95,22,128
124,3.61,4752,41.9,20.46,769.0409,3.3535,0.0031,0.3475,4.9759,51.1345,0.2823,0.3325,3.6894,23.908,54.05,21,129
125,4.17,4738,60.0,20.49,772.4676,3.3535,0.0031,0.3889,5.0394,50.9268,0.2823,0.3784,3.0629,24.1308,54.05,23,139
126,5.49,4725,46.05,20.54,763.1244,3.3428,0.0032,0.355,5.0182,51.1345,0.2694,0.3784,2.7575,23.6525,54.15,22,125
127,5.5,4711,35.7,20.42,775.0737,3.3002,0.0031,0.3601,5.0394,50.7191,0.2958,0.4028,2.7575,24.243,54.15,22,133
128,2.545,4700,25.7,20.47,817.2624,3.3535,0.0031,0.355,5.0182,51.3421,0.3168,0.3109,4.0099,24.8435,54.25,22,134
129,3.755,4718,25.9,20.42,787.6548,3.3749,0.0031,0.3601,4.9549,51.2729,0.2167,0.4283,3.0629,24.0821,54.35,23,129
130,3.33,4692,26.2,20.44,759.9621,3.3108,0.0031,0.3425,4.8919,51.6878,0.2449,0.4028,3.6894,24.1345,54.45,21,127
131,6.97,4641,25.9,20.44,757.4617,3.2791,0.0031,0.3475,4.8085,51.7569,0.3027,0.3325,3.6894,24.1013,54.45,23,131
132,6.3,4643,25.1,20.38,776.8271,3.1749,0.0031,0.345,4.8501,51.3421,0.2508,0.3325,4.0099,24.6435,54.55,23,136
133,4.0,4629,26.0,20.44,754.2967,3.1852,0.0031,0.34,4.7877,51.4112,0.2276,0.3325,3.6894,24.1196,54.55,23,130
134,3.29,4577,25.75,20.49,791.746,3.2059,0.0031,0.3627,4.9338,51.5495,0.2114,0.3784,4.0099,24.5853,54.65,24,138
135,3.15,4569,38.25,20.47,784.5868,3.2163,0.0031,0.35,4.9338,51.6187,0.2958,0.3549,3.3736,24.5422,54.65,21,140
136,3.28,4545,33.0,20.37,788.1821,3.3428,0.003,0.3351,4.9549,51.4804,0.2823,0.4028,3.3736,23.6963,54.65,22,128
137,1.73,4509,28.75,20.41,759.4333,3.2581,0.0031,0.3278,4.9759,51.4804,0.2449,0.3784,3.3736,22.818,54.75,19,132
138,1.585,4525,64.55,20.37,752.8289,3.2476,0.0031,0.3302,4.9338,51.7569,0.3241,0.3549,4.0099,23.0932,54.75,20,129
139,4.13,4449,42.55,20.43,769.0535,3.3108,0.003,0.3375,4.9759,51.4804,0.2114,0.3784,3.3736,23.4565,54.75,21,134
140,1.4,4478,72.45,20.44,766.8802,3.2791,0.003,0.3351,4.9338,51.0653,0.2508,0.3549,2.7575,23.6095,54.75,21,138
141,2.29,4463,52.1,20.48,794.1208,3.2791,0.003,0.3326,4.8919,50.7884,0.2958,0.3549,2.7575,23.887,54.85,22,140
142,2.17,4399,25.05,20.4,794.595,3.2686,0.003,0.3326,4.8919,50.9268,0.1769,0.3549,2.1646,24.8012,54.85,22,136
143,2.21,4416,25.2,20.42,783.8494,3.2476,0.003,0.3278,4.8919,50.9961,0.2758,0.4028,3.6894,23.7732,54.85,23,127
144,1.88,4409,25.7,20.46,813.0051,3.2686,0.0029,0.323,4.7877,51.2037,0.2221,0.3784,3.6894,24.4003,54.95,23,129
145,2.13,4335,25.4,20.38,779.1011,3.2476,0.003,0.323,4.7257,51.2729,0.2569,0.3549,3.3736,23.6564,54.95,24,137
146,4.19,4331,25.3,20.45,781.1371,3.1338,0.0031,0.3351,4.7463,51.4112,0.2449,0.3325,3.6894,23.8269,54.95,20,130
147,2.285,4335,25.75,20.43,813.183,3.1134,0.0031,0.3375,4.7877,51.4112,0.2333,0.3549,4.0099,22.931,54.95,22,138
148,2.695,4292,24.65,20.44,787.4841,3.0729,0.003,0.3206,4.8085,51.4804,0.2449,0.3325,4.0099,23.5284,54.95,20,138
149,1.17,4269,25.6,20.46,818.7097,3.144,0.0029,0.3135,4.8085,51.3421,0.239,0.3325,3.6894,23.4232,54.95,22,127
150,1.7,4252,29.6,20.43,796.1153,3.1852,0.003,0.3065,4.8293,51.4804,0.3097,0.3325,3.6894,24.0046,55.05,21,129
151,1.67,4235,41.15,20.38,792.0075,3.1749,0.0029,0.2996,4.7877,51.4112,0.2508,0.3549,3.6894,24.2675,55.05,22,135
152,1.06,4218,29.75,20.39,808.3149,3.2163,0.003,0.295,4.8293,51.3421,0.3168,0.3109,3.6894,24.5857,55.05,23,134
153,1.12,4201,63.8,20.36,809.8123,3.1955,0.003,0.3088,4.8293,51.2729,0.239,0.3325,3.6894,24.4179,55.05,20,137
154,0.85,4184,46.0,20.44,841.3933,3.2267,0.0029,0.3254,4.8293,51.1345,0.3241,0.3325,2.7575,22.7946,55.05,20,133
155,0.94,4178,81.45,20.49,784.6289,3.2791,0.0029,0.3182,4.8085,50.6498,0.2569,0.3325,3.6894,23.9127,55.15,21,140
156,1.23,4149,30.4,20.48,780.3685,3.2371,0.0029,0.3158,4.8085,50.6498,0.2449,0.4028,3.0629,23.9134,55.25,22,125
157,1.38,4131,24.4,20.46,812.3492,3.2581,0.0029,0.3182,4.7877,50.9268,0.2508,0.3325,3.0629,24.1655,55.25,23,132
158,1.27,4139,25.4,20.45,804.034,3.2791,0.0029,0.3351,4.8085,51.2729,0.2221,0.3784,3.3736,23.7006,55.25,22,133
