,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
ageTransformed[31],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[32],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[33],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[34],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[35],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[36],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[37],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[38],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[39],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
timeTransformed[1],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[2],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
timeTransformed[3],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[4],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[5],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[6],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[7],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[8],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[9],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[10],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[11],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[12],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[13],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[14],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[15],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[16],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[17],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[18],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[19],0.229786,0.00424483,0.0576407,0.139792,0.226538,0.327163,184.391,12.2657,1.01373
timeTransformed[20],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[21],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
timeTransformed[22],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[23],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[24],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[25],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[26],0.226378,0.00358683,0.0590067,0.136524,0.221476,0.331584,270.633,18.0026,1.02119
timeTransformed[27],0.249833,0.00344969,0.0604228,0.160079,0.245692,0.35427,306.79,20.4078,1.0121
timeTransformed[28],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
timeTransformed[29],0.117,0.00418743,0.0419887,0.0531821,0.114762,0.189973,100.547,6.68842,1.04511
