,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
acou_isolation[91],13.9036,3.06892,4.358,9.471,12.4763,21.4171,2.01652,0.025797,19.922
acou_isolation[92],12.8783,2.66531,3.79965,8.58796,11.8927,19.3182,2.03231,0.025999,10.1087
acou_isolation[93],12.9509,2.96878,4.21563,10.0374,10.6792,20.6829,2.01636,0.0257949,20.9444
acou_isolation[94],12.7039,3.44853,4.90656,7.21551,12.1802,21.451,2.02435,0.0258971,12.1198
acou_isolation[95],11.4495,3.53589,5.04633,6.52212,9.11362,20.2969,2.03682,0.0260567,15.073
acou_isolation[96],12.0159,3.41992,4.87341,7.60169,9.55593,20.5415,2.03064,0.0259776,11.0173
acou_isolation[97],11.5514,3.66299,5.23204,6.03092,9.42725,20.7815,2.04018,0.0260996,10.4062
acou_isolation[98],12.9626,3.84477,5.49536,6.34043,12.5404,22.789,2.04292,0.0261347,10.8265
acou_isolation[99],12.7517,3.64309,5.17646,8.5476,10.2504,22.4344,2.01896,0.0258281,21.2417
acou_isolation[100],12.7819,3.19974,4.54469,7.80525,11.4276,20.5922,2.01734,0.0258074,15.3246
acou_isolation_mu,13.3107,3.0164,4.2737,10.0152,11.9474,20.6335,2.0074,0.0257,51.5431
acou_isolation_std,1.4019,0.1164,0.1686,1.1471,1.4034,1.6186,2.0984,0.0268,6.6869
AcousComfort[1],0.540781,2.08718,2.98755,-2.67406,-0.829044,5.6936,2.04886,0.0262106,8.6151
AcousComfort[2],1.51446,2.79419,3.96862,-4.32343,1.78968,7.47355,2.01729,0.0258067,17.0299
AcousComfort[3],2.70545,2.70897,3.87155,-2.37806,2.13018,8.56054,2.04251,0.0261294,13.3878
AcousComfort[4],1.18694,1.96764,2.80945,-1.68592,0.438974,6.3557,2.0387,0.0260806,9.40699
AcousComfort[5],4.64601,1.95454,2.77709,1.4169,4.12696,9.42805,2.01879,0.025826,19.1997
AcousComfort[6],1.78193,1.3223,1.90363,-0.387921,1.47828,5.15979,2.07256,0.0265138,6.48298
AcousComfort[7],1.74753,2.36319,3.36114,-0.976718,0.0501832,7.88581,2.02289,0.0258785,13.4455
AcousComfort[8],1.41898,3.25755,4.61869,-4.01044,0.364801,8.90506,2.01027,0.025717,26.9332
AcousComfort[9],0.48976,2.59796,3.70996,-4.27936,-0.430525,6.69894,2.03927,0.026088,12.1733
AcousComfort[10],1.13524,1.96229,2.81409,-3.06105,0.973016,5.0805,2.0566,0.0263096,6.7147
AcousComfort[11],2.38282,3.00056,4.26287,-2.98573,1.19391,9.00464,2.01836,0.0258205,17.2203
AcousComfort[12],3.46967,2.37587,3.39813,-2.08547,4.13227,7.86776,2.04566,0.0261697,12.0926
AcousComfort[13],3.74927,1.25179,1.86049,0.922967,3.50938,6.77318,2.20898,0.0282591,4.4422
AcousComfort[14],0.811846,2.43875,3.46149,-2.90528,2.40786,5.4173,2.01461,0.0257725,21.5855
AcousComfort[15],3.49209,1.76583,2.53542,0.648573,2.49828,7.90613,2.06158,0.0263733,9.18565
AcousComfort[16],3.17998,2.82781,4.02358,-1.28968,2.35471,10.224,2.02453,0.0258994,11.0518
AcousComfort[17],2.21357,2.2476,3.19302,-1.10261,1.05529,7.66432,2.0182,0.0258184,17.0888
AcousComfort[18],2.29255,1.81883,2.58932,-0.409407,1.55545,7.00848,2.0267,0.0259271,12.1351
AcousComfort[19],2.09814,2.03143,2.90225,-0.598887,0.96226,7.28913,2.04111,0.0261115,11.469
AcousComfort[20],0.978955,2.03108,2.92217,-3.03057,1.40236,5.11986,2.06994,0.0264803,9.42809
AcousComfort[21],2.35452,2.96548,4.2206,-2.14708,1.88478,8.9561,2.02562,0.0259134,11.6262
AcousComfort[22],0.780364,1.32381,1.88637,-2.49302,1.5489,2.48127,2.03049,0.0259757,9.87795
AcousComfort[23],3.61033,2.01125,2.91724,-0.613046,3.23009,8.92583,2.10383,0.0269138,10.3358
AcousComfort[24],3.30301,2.81749,4.00037,-0.0609554,1.61046,10.2288,2.01594,0.0257895,18.036
AcousComfort[25],2.34899,2.09125,3.03334,-1.94866,1.48871,7.80676,2.10392,0.026915,6.0623
AcousComfort[26],2.77365,2.53329,3.62308,-0.493344,1.51637,8.95641,2.04545,0.026167,9.33416
AcousComfort[27],-0.96771,2.61409,3.71463,-5.9925,-1.2365,5.24287,2.01925,0.0258319,16.8151
AcousComfort[28],2.82352,1.36982,1.94842,1.17167,1.97118,6.23699,2.02319,0.0258822,11.5239
AcousComfort[29],2.37931,1.95872,2.80016,0.07693,0.570015,7.21017,2.04372,0.0261449,8.67322
AcousComfort[30],2.47716,2.67573,3.83927,-1.59875,2.07516,8.88789,2.05879,0.0263377,8.14244
AcousComfort[31],2.40981,2.14412,3.17399,-1.28191,1.36114,7.16135,2.19134,0.0280334,5.89241
AcousComfort[32],1.75032,1.78842,2.56234,-2.47551,1.53431,5.32286,2.05273,0.0262602,7.33419
AcousComfort[33],0.907149,3.09149,4.4015,-3.93949,0.517815,8.50441,2.02706,0.0259318,11.4411
AcousComfort[34],2.88814,1.58282,2.25377,0.391038,2.8062,6.11928,2.02748,0.0259372,10.4069
AcousComfort[35],2.66608,2.4571,3.49869,-2.58677,2.63169,8.08263,2.02752,0.0259377,14.3872
AcousComfort[36],1.88471,1.79964,2.57573,-1.23656,1.60048,5.80057,2.04847,0.0262056,7.10134
AcousComfort[37],3.02343,2.02517,2.92295,-0.417572,3.10337,9.14858,2.08316,0.0266494,7.49096
AcousComfort[38],3.02623,2.68872,3.81349,-0.874873,1.99419,9.41153,2.01166,0.0257348,23.5939
AcousComfort[39],1.41942,3.45701,4.90629,-3.86693,0.495243,9.40487,2.01421,0.0257673,19.9516
AcousComfort[40],0.665709,3.77045,5.34694,-4.39472,-1.04515,9.99497,2.01105,0.025727,27.3878
AcousComfort[41],2.27545,2.65984,3.81782,-2.31487,1.65519,8.20364,2.06025,0.0263564,11.0842
AcousComfort[42],2.01231,1.84565,2.62651,-0.136734,0.696816,6.88013,2.02517,0.0259076,10.6862
AcousComfort[43],2.4081,2.5745,3.65308,-2.50147,1.71565,7.98006,2.01341,0.0257571,18.1428
AcousComfort[44],2.10092,3.19934,4.53701,-3.25814,2.51674,9.33329,2.01104,0.0257268,28.9182
AcousComfort[45],2.70391,2.23984,3.20063,-2.7201,4.79458,5.71942,2.04191,0.0261218,10.6323
AcousComfort[46],1.24014,4.04033,5.72591,-6.70144,2.23309,9.38336,2.00843,0.0256934,33.4122
AcousComfort[47],3.32403,2.78992,3.95854,-2.81352,5.99381,7.71504,2.0132,0.0257545,20.957
AcousComfort[48],2.79664,1.92075,2.72729,0.621931,1.51051,7.64021,2.01615,0.0257922,14.7966
AcousComfort[49],2.94413,1.80359,2.58089,-0.285496,3.91405,6.60532,2.04769,0.0261957,9.82914
AcousComfort[50],1.35335,1.51875,2.17453,-1.34443,0.629947,4.99509,2.05001,0.0262254,11.4083
AcousComfort[51],1.94734,2.38371,3.41199,-4.10703,2.91449,6.34355,2.04885,0.0262105,7.4493
AcousComfort[52],2.12983,2.44339,3.4667,-1.41598,1.38466,7.91081,2.01303,0.0257522,19.8931
AcousComfort[53],2.67477,2.13896,3.03802,-0.146517,2.03148,7.79453,2.01733,0.0258073,15.6282
AcousComfort[54],3.50408,2.24428,3.18107,0.414188,2.81286,8.96627,2.00905,0.0257014,30.8114
AcousComfort[55],3.68987,1.35303,1.92947,0.572425,4.04129,6.43564,2.03355,0.0260149,12.3911
AcousComfort[56],0.533908,3.2623,4.64581,-5.24336,-0.304132,7.86012,2.02804,0.0259443,17.0036
AcousComfort[57],2.82626,2.22814,3.16565,-1.36378,2.64403,7.72358,2.01856,0.025823,13.8104
AcousComfort[58],2.09759,2.36564,3.37024,-0.687229,0.558381,8.08239,2.02966,0.0259651,15.4784
AcousComfort[59],3.34096,1.74531,2.51192,0.918603,2.19442,7.94325,2.07141,0.0264991,9.71876
AcousComfort[60],2.55396,1.99432,2.83722,-1.29882,2.40888,7.09988,2.02393,0.0258918,12.0497
AcousComfort[61],1.70913,2.04832,2.91761,-1.25991,1.73668,6.79084,2.0289,0.0259553,13.8007
AcousComfort[62],0.438972,2.73185,3.87468,-2.27083,-1.61862,7.23416,2.01168,0.025735,26.3528
AcousComfort[63],1.19638,2.77747,3.93626,-2.19772,-0.226972,7.92265,2.00848,0.0256941,34.7816
AcousComfort[64],3.13717,1.97624,2.81973,0.137296,3.03505,7.81969,2.03581,0.0260437,10.7114
AcousComfort[65],3.78602,3.25536,4.62761,-2.76902,3.56093,10.7665,2.02076,0.0258511,13.3439
AcousComfort[66],2.70935,1.83663,2.61845,-0.496185,2.43506,7.16521,2.03257,0.0260022,11.6139
AcousComfort[67],2.17737,2.13871,3.10007,-1.71645,1.80948,7.77606,2.10106,0.0268784,8.13189
AcousComfort[68],4.34721,2.33349,3.31408,-0.649818,6.04563,8.50417,2.01704,0.0258035,17.3236
AcousComfort[69],3.09506,1.93455,2.75095,0.179433,4.07798,7.41826,2.0221,0.0258684,15.6409
AcousComfort[70],1.86085,2.20944,3.13688,-1.32596,2.11962,6.61897,2.01573,0.0257868,15.0759
AcousComfort[71],1.95521,2.45715,3.4888,-0.82789,0.193527,8.07088,2.01599,0.0257902,23.7946
AcousComfort[72],1.78053,2.16834,3.09205,-0.728735,0.563295,7.51794,2.03348,0.0260139,14.1249
AcousComfort[73],2.18395,2.29484,3.25799,-1.60033,3.23256,6.95299,2.01556,0.0257846,14.3819
AcousComfort[74],3.35845,2.76796,3.93949,0.0252752,1.40083,10.6056,2.02563,0.0259135,10.7956
AcousComfort[75],0.144547,2.93875,4.19509,-4.64829,-1.10377,7.04884,2.03778,0.0260689,8.27743
AcousComfort[76],0.242746,2.6068,3.71123,-4.31463,-0.353604,6.01221,2.02684,0.025929,13.1566
AcousComfort[77],1.038,2.19281,3.13128,-2.83655,0.3115,6.79318,2.03911,0.0260859,12.4846
AcousComfort[78],1.65591,1.95684,2.7825,-0.632771,0.305215,6.50643,2.02189,0.0258657,12.7152
AcousComfort[79],3.13305,1.94222,2.79425,-0.91676,2.61155,8.0054,2.06982,0.0264788,7.9748
AcousComfort[80],2.22603,1.2505,1.78085,0.276334,1.39072,5.14174,2.02809,0.0259449,11.0401
AcousComfort[81],0.786297,2.5382,3.61943,-2.69171,-0.0712737,7.15143,2.03343,0.0260132,15.7901
AcousComfort[82],1.77111,2.16312,3.09144,-2.03342,1.28967,6.57374,2.04248,0.0261291,8.21565
AcousComfort[83],2.29054,2.65945,3.78663,-3.60469,2.83831,7.19935,2.02732,0.0259351,13.0389
AcousComfort[84],3.32892,2.40237,3.41451,0.0622919,2.0999,9.14601,2.02011,0.0258428,12.6552
AcousComfort[85],2.23444,1.27283,1.8288,-0.417585,2.30879,4.89559,2.06437,0.026409,6.03008
AcousComfort[86],2.96122,2.22918,3.19635,-2.1434,4.04803,8.12897,2.05598,0.0263018,10.3942
AcousComfort[87],2.21055,1.80656,2.59981,-0.442881,1.54144,6.91783,2.07099,0.0264938,7.57978
